Thu Sep 24 14:49:27 2026    ep.prof

         51419624 function calls (50728443 primitive calls) in 109.119 seconds

   Ordered by: internal time
   List reduced from 10814 to 400 due to restriction <400>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    16244    0.082    0.000    0.330    0.000 PyAutoFit/autofit/messages/truncated_normal.py:185(calc_natural_parameters)
    12071    0.082    0.000    0.176    0.000 SP/scipy/_lib/_util.py:423(_asarray_validated)
81441/81336    0.082    0.000    0.224    0.000 {method 'join' of 'str' objects}
    42011    0.080    0.000    1.517    0.000 SP/scipy/_lib/array_api_extra/_lib/_at.py:362(set)
    31028    0.080    0.000    0.080    0.000 {method '__deepcopy__' of 'numpy.ndarray' objects}
     1453    0.079    0.000    0.079    0.000 {built-in method _io.open_code}
    45794    0.079    0.000    0.439    0.000 {method 'all' of 'numpy.ndarray' objects}
     1045    0.079    0.000    0.358    0.000 SP/scipy/stats/_distn_infrastructure.py:2051(pdf)
    40268    0.079    0.000    0.224    0.000 STDLIB/contextlib.py:299(helper)
   266110    0.079    0.000    0.079    0.000 {method 'lstrip' of 'str' objects}
    91517    0.078    0.000    0.103    0.000 STDLIB/enum.py:202(__get__)
     4313    0.078    0.000    0.714    0.000 SP/matplotlib/text.py:157(_reset_visual_defaults)
    55372    0.078    0.000    0.110    0.000 STDLIB/weakref.py:451(get)
40268/38608    0.078    0.000    0.586    0.000 STDLIB/contextlib.py:132(__enter__)
    48462    0.078    0.000    0.078    0.000 {method 'reset' of '_contextvars.ContextVar' objects}
    53064    0.077    0.000    0.120    0.000 STDLIB/enum.py:720(__call__)
    36800    0.077    0.000    0.611    0.000 SP/numpy/_core/fromnumeric.py:2477(any)
    44714    0.076    0.000    0.357    0.000 {built-in method builtins.max}
     1129    0.076    0.000    0.250    0.000 SP/dynesty/nestedsamplers.py:719(propose_live)
    11274    0.075    0.000    0.159    0.000 SP/scipy/_lib/_docscrape.py:168(_is_at_section)
     6527    0.075    0.000    0.076    0.000 PyAutoFit/autofit/messages/truncated_normal.py:216(invert_natural_parameters)
    48462    0.075    0.000    0.075    0.000 {built-in method numpy._core._multiarray_umath._make_extobj}
   136578    0.075    0.000    0.106    0.000 STDLIB/inspect.py:302(isclass)
     6427    0.074    0.000    0.161    0.000 PyAutoFit/autofit/messages/interface.py:242(_combined_support)
    57028    0.074    0.000    0.416    0.000 SP/matplotlib/artist.py:416(pchanged)
     2939    0.074    0.000    0.410    0.000 SP/psutil/_pslinux.py:2299(open_files)
    53267    0.074    0.000    0.129    0.000 <frozen importlib._bootstrap>:645(parent)
    85824    0.074    0.000    0.074    0.000 {method 'pop' of 'list' objects}
    10142    0.074    0.000    0.105    0.000 SP/matplotlib/font_manager.py:876(set_size)
    17873    0.073    0.000    0.073    0.000 {built-in method posix.readlink}
    11599    0.073    0.000    0.463    0.000 SP/matplotlib/transforms.py:805(from_extents)
    57808    0.073    0.000    0.361    0.000 SP/numpy/_core/fromnumeric.py:2018(nonzero)
    32363    0.072    0.000    0.642    0.000 SP/scipy/_lib/array_api_compat/_internal.py:33(wrapped_f)
    42011    0.072    0.000    0.078    0.000 SP/scipy/_lib/array_api_compat/common/_helpers.py:194(is_dask_array)
   8504/0    0.072    0.000    0.000          SP/matplotlib/artist.py:53(draw_wrapper)
   252455    0.072    0.000    0.072    0.000 SP/numpy/_core/multiarray.py:383(where)
     2808    0.071    0.000    0.204    0.000 STDLIB/inspect.py:2397(_signature_from_function)
    18803    0.071    0.000    0.108    0.000 SP/scipy/_lib/array_api_compat/common/_helpers.py:923(size)
    64220    0.071    0.000    0.352    0.000 PyAutoFit/autofit/mapper/prior_model/abstract.py:1762(direct_deferred_tuples)
    11806    0.071    0.000    0.083    0.000 SP/numpy/_core/_methods.py:76(_count_reduce_items)
    24230    0.071    0.000    0.288    0.000 SP/scipy/_lib/array_api_compat/common/_aliases.py:574(isdtype)
75890/72594    0.071    0.000    0.218    0.000 <frozen abc>:121(__subclasscheck__)
    14528    0.070    0.000    0.189    0.000 SP/scipy/_lib/_docscrape.py:67(read_to_condition)
    61089    0.070    0.000   21.499    0.000 PyAutoFit/autofit/non_linear/fitness.py:764(__call__)
     9784    0.070    0.000    0.075    0.000 SP/numpy/_core/numeric.py:367(full_like)
      287    0.070    0.000    0.214    0.001 SP/matplotlib/artist.py:1435(get_aliases)
     1129    0.070    0.000    3.466    0.003 SP/dynesty/sampling.py:154(generic_random_walk)
    66908    0.069    0.000    0.069    0.000 SP/dynesty/utils.py:111(__float__)
40268/38608    0.068    0.000    0.507    0.000 STDLIB/contextlib.py:141(__exit__)
    64250    0.068    0.000    0.339    0.000 PyAutoFit/autofit/mapper/prior_model/abstract.py:1730(direct_prior_model_tuples)
       15    0.068    0.005    0.087    0.006 {built-in method _pickle.load}
    23782    0.066    0.000    0.066    0.000 SP/scipy/linalg/lapack.py:1062(_check_work_float)
    12195    0.066    0.000    0.077    0.000 SP/matplotlib/cbook.py:259(__init__)
4634/2886    0.065    0.000    0.344    0.000 STDLIB/inspect.py:2501(_signature_from_callable)
     1215    0.065    0.000    0.178    0.000 SP/matplotlib/ticker.py:819(_set_format)
      618    0.064    0.000    0.064    0.000 {built-in method builtins.dir}
    64280    0.063    0.000    0.330    0.000 PyAutoFit/autofit/mapper/prior_model/abstract.py:1752(direct_prior_tuples)
     3181    0.063    0.000    0.080    0.000 SP/numpy/lib/_shape_base_impl.py:621(column_stack)
    48462    0.063    0.000    0.063    0.000 {method 'set' of '_contextvars.ContextVar' objects}
