Thu Sep 24 14:49:27 2026    ep.prof

         51419624 function calls (50728443 primitive calls) in 109.119 seconds

   Ordered by: cumulative time
   List reduced from 10814 to 400 due to restriction <400>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2790    0.030    0.000    1.309    0.000 SP/matplotlib/ticker.py:2232(tick_values)
      469    0.022    0.000    1.280    0.003 SP/matplotlib/spines.py:142(get_window_extent)
      159    0.006    0.000    1.271    0.008 SP/matplotlib/axis.py:2438(_update_label_position)
    26292    0.147    0.000    1.256    0.000 PyAutoFit/autofit/messages/abstract.py:204(__mul__)
      310    0.011    0.000    1.189    0.004 SP/matplotlib/axis.py:845(clear)
     1407    0.057    0.000    1.183    0.001 SP/matplotlib/axis.py:1527(get_minorticklocs)
   284917    1.092    0.000    1.180    0.000 {built-in method numpy.array}
    53894    0.287    0.000    1.170    0.000 SP/numpy/_core/numeric.py:2195(identity)
       30    0.000    0.000    1.146    0.038 PyAutoFit/autofit/non_linear/paths/directory.py:303(save_samples)
       30    0.002    0.000    1.146    0.038 PyAutoFit/autofit/non_linear/paths/directory.py:309(_save_samples)
        1    0.001    0.001    1.135    1.135 SP/scipy/stats/__init__.py:1(<module>)
31199/28231    0.167    0.000    1.133    0.000 STDLIB/copy.py:247(_reconstruct)
     2790    0.213    0.000    1.130    0.000 SP/matplotlib/ticker.py:2159(_raw_ticks)
     1016    0.005    0.000    1.123    0.001 SP/numpy/lib/_function_base_impl.py:2517(__call__)
     5679    0.192    0.000    1.122    0.000 SP/dynesty/bounding.py:115(__init__)
      123    0.001    0.000    1.121    0.009 SP/matplotlib/figure.py:3235(clear)
      123    0.002    0.000    1.120    0.009 SP/matplotlib/figure.py:972(clear)
       45    0.000    0.000    1.120    0.025 SP/matplotlib/pyplot.py:1220(clf)
     3693    0.027    0.000    1.119    0.000 SP/matplotlib/text.py:104(__init__)
     1015    0.008    0.000    1.118    0.001 SP/numpy/lib/_function_base_impl.py:2487(_call_as_normal)
     1015    0.027    0.000    1.110    0.001 SP/numpy/lib/_function_base_impl.py:2593(_vectorize_call)
      661    0.003    0.000    1.100    0.002 SP/scipy/_lib/_docscrape.py:579(__init__)
     4466    0.773    0.000    1.092    0.000 SP/matplotlib/lines.py:758(draw)
   122178    0.829    0.000    1.090    0.000 PyAutoFit/autofit/mapper/prior/_erf_helpers.py:17(_norm_cdf)
    11891    0.500    0.000    1.088    0.000 SP/scipy/linalg/_decomp.py:284(eigh)
       30    0.004    0.000    1.083    0.036 SP/anesthetic/samples.py:189(plot_2d)
     1360    0.021    0.000    1.061    0.001 SP/matplotlib/axis.py:946(set_tick_params)
     4077    0.007    0.000    1.049    0.000 PyAutoFit/autofit/messages/abstract.py:344(<genexpr>)
      390    0.011    0.000    1.042    0.003 PyAutoFit/autofit/non_linear/samples/pdf.py:139(median_pdf)
     2030    0.098    0.000    1.023    0.001 SP/scipy/stats/_continuous_distns.py:10423(_truncnorm_stats_scalar)
        1    0.000    0.000    1.018    1.018 ep_repeat.py:81(dynesty_rstate)
    97/52    0.003    0.000    1.015    0.020 SP/matplotlib/__init__.py:1521(inner)
        1    0.000    0.000    1.014    1.014 SP/dynesty/__init__.py:1(<module>)
        1    0.000    0.000    1.009    1.009 SP/dynesty/dynesty.py:1(<module>)
        1    0.000    0.000    1.005    1.005 SP/dynesty/nestedsamplers.py:1(<module>)
        1    0.000    0.000    1.003    1.003 SP/dynesty/sampler.py:1(<module>)
    58830    0.186    0.000    0.997    0.000 SP/numpy/_core/fromnumeric.py:2338(sum)
        1    0.001    0.001    0.992    0.992 SP/matplotlib/pyplot.py:1(<module>)
